Top File I/O Activity Report
File,Total IOs (#),Read Requests (#),Total Read IO,Avg Read IO,Write Requests (#),Total Write IO,Avg Write IO,Write %
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#ib_16384_0.dblwr,42303488,1,196608,196608,727,42106880,57919,99.54
C:\ProgramData\MySQL\MySQL Server 8.0\Data\mysql.ibd,24215552,333,5505024,16532,1142,18710528,16384,77.27
C:\ProgramData\MySQL\MySQL Server 8.0\Data\ibtmp1,14729216,0,0,0,143,14729216,103002,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\undo_002,13762560,374,6176768,16515,463,7585792,16384,55.12
C:\ProgramData\MySQL\MySQL Server 8.0\Data\undo_001,13680640,377,6225920,16514,455,7454720,16384,54.49
C:\ProgramData\MySQL\MySQL Server 8.0\Data\ibdata1,11288576,533,8781824,16476,153,2506752,16384,22.21
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#ib_16384_1.dblwr,8585216,1,8585216,8585216,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo12_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo13_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo14_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo15_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo16_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo17_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo18_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo19_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo20_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo21_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo22_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo23_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo24_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo25_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo26_tmp,3145728,0,0,0,3,3145728,1048576,100.00
