Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
SHOW GLOBAL STATUS,*,5730,0,0,14037020.10,29856.90,2449.70,2796240,488.0,2796240,488.0,5730,0,0,0,070e38632eb4444e50cdcbf0b17474ba801e203add89783a24584951442a2317
SHOW SESSION VARIABLES LIKE ?,*,17,0,0,268075.00,56807.00,15769.10,17,1.0,17,1.0,17,0,0,0,6935f3922a42d8845977364d3d83d2ad4e11a53295dfeca9d0d08403bff33250
SHOW SESSION VARIABLES LIKE ?,*,58,0,0,225643.90,55251.90,3890.40,58,1.0,58,1.0,58,0,0,0,6935f3922a42d8845977364d3d83d2ad4e11a53295dfeca9d0d08403bff33250
SHOW SCHEMAS,*,26,0,0,223445.60,76602.60,8594.00,493,19.0,1998,77.0,0,0,493,0,dbea8921b559b8cdd4976d57d70304daa8a242fbbfe6df94427006b54ead6b0f
SHOW FULL TABLES FROM `hw_4`,,22,0,0,187245.90,31327.30,8511.10,251,11.0,797,36.0,0,0,251,0,8bd773b6fa2e73fe10c7d99528e700d6dbef1b1d6a3016fafadfd6cbee10098c
SHOW PROCEDURE STATUS WHERE `Db` = ?,,47,0,0,174438.50,20196.80,3711.40,0,0.0,94,2.0,0,0,0,0,cbc301da493d6b465340bd346910730ee04459290e7cb9d392d71de4e8fea677
SELECT * FROM `sys` . `x$statements_with_runtimes_in_95th_percentile`,*,1,0,0,173011.20,173011.20,173011.20,16,16.0,957,957.0,6,0,32,0,d26ebe100c5f64cbc8cf0cf089de3554565d3bf1811142f63ab36239e8f33940
"SELECT @@`datadir` `datadir` , `sd` . `path` FROM `information_schema` . `INNODB_TABLES` `st` JOIN `information_schema` . `innodb_datafiles` `sd` USING ( `space` ) WHERE `st` . `name` = ?",*,8,0,0,172892.70,129372.40,21611.50,8,1.0,1832,229.0,8,0,0,0,80d38ef0cbdc2340d4c76bf8acc41e1e09e087baafde949f18043a226a27f28f
SHOW FULL TABLES FROM `sjsu_rental_database`,,25,0,0,167879.80,47328.60,6715.10,275,11.0,942,38.0,0,0,275,0,d7beb8fa2b0049a305aa89364f53f291b0f914d67cb1b9a5c6451ae82f1db598
SHOW CHARACTER SET WHERE CHARSET = ?,,33,0,0,167155.70,21919.30,5065.30,33,1.0,33,1.0,0,0,0,0,403e20a54ba36e995c8a9423fc5504db82d64dfefb3c9f6e0b4d3d66372ede9f
INSERT INTO `payment` VALUES (...),,13,2,0,155658.70,23896.40,11973.70,0,0.0,0,0.0,0,0,0,0,75b08464d3ee97c7e88a6a2128372fa01696fab3f9a8ac86fc48399bc44cef52
INSERT INTO `sjsu_rental_database` . `bookings` VALUES (...),,10,0,0,139986.40,41151.60,13998.60,0,0.0,0,0.0,0,0,0,0,3f1807b072f3da7752a9e373366ed7f92ac8642593e7c8ccff835a4d29a65254
