Statements in Highest 5 Percent by Runtime
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Maximum Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Digest
DROP TABLE `Payment`,,1,0,0,138271.40,138271.40,138271.40,0,0.0,0,0.0,9173179e8edfdff66cb5615de65dea9271884e2ffaedbd78ebd42797090934fd
ALTER TABLE `bookings` DROP COLUMN `Customer_Name`,,1,0,0,121654.30,121654.30,121654.30,0,0.0,0,0.0,2ca7bfba67fad23ff7cc8e89ad3a004edd5d91f31e8fb09d48974c7b99a52781
"CREATE TABLE `Payment` ( `Payment_ID` INTEGER , `Customer_ID` INTEGER , `Booking_ID` INTEGER , `Payment_Mode` VARCHARACTER (?) NOT NULL , `Comments` VARCHARACTER (?) , FOREIGN KEY ( `Customer_ID` ) REFERENCES `Customer` ( `Customer_ID` ) , FOREIGN KEY ( `Booking_ID` ) REFERENCES `Bookings` ( `Booking_ID` ) , CONSTRAINT `PK_Payment` PRIMARY KEY ( `Payment_ID` , `Customer_ID` , `Booking_ID` ) )",,1,0,0,101676.60,101676.60,101676.60,0,0.0,0,0.0,e1f3fcaca166836f3eecb58a697682f4879f9554b544b74bdf5b168693a8bad8
"CREATE TABLE `Bookings` ( `Booking_ID` INTEGER PRIMARY KEY NOT NULL UNIQUE , `Customer_ID` INTEGER NOT NULL , `Customer_Name` VARCHARACTER (?) NOT NULL , `Listing_ID` INTEGER NOT NULL , `Unit_Alloted` VARCHARACTER (?) NOT NULL , `Price_Incurred` DECIMAL (...) NOT NULL , `Booking_From` DATETIME NOT NULL , `Booking_To` DATETIME NOT NULL , `Booking_Category` VARCHARACTER (?) NOT NULL , `Payment_ID` VARCHARACTER (?) NOT NULL UNIQUE )",,1,0,0,90648.40,90648.40,90648.40,0,0.0,0,0.0,27520a058044ae6e5ec1af4fb21c917b540b71335541c8ef2771a3d9b0bb8876
"CREATE TABLE `Amenities_Provided` ( `Listing_ID` INTEGER NOT NULL , `Amenities_ID` INTEGER NOT NULL , FOREIGN KEY ( `Amenities_ID` ) REFERENCES `Amenities` ( `Amenities_ID` ) , FOREIGN KEY ( `Listing_ID` ) REFERENCES `Listings` ( `Listings_ID` ) , CONSTRAINT `PK_Amenities_Prov` PRIMARY KEY ( `Listing_ID` , `Amenities_ID` ) )",,1,0,0,86962.60,86962.60,86962.60,0,0.0,0,0.0,87aace188ee839bcdf7e3f9545f59c3c9c2fd87c6319bf81919a0b927a91c10a
"CREATE TABLE HOST ( `Host_ID` INTEGER PRIMARY KEY NOT NULL UNIQUE , NAME VARCHARACTER (?) NOT NULL , `Age` INTEGER NOT NULL , `Gender` CHARACTER (?) NOT NULL , `Unit_no` VARCHARACTER (?) NOT NULL , `Street_Address` VARCHARACTER (?) NOT NULL , `City` VARCHARACTER (?) NOT NULL , `Zip_code` VARCHARACTER (?) NOT NULL , `State_ID` INTEGER NOT NULL , `Country_ID` INTEGER NOT NULL , `About` VARCHARACTER (?) NOT NULL , `Host_since` DATE NOT NULL , `Response_Time` VARCHARACTER (?) NOT NULL , `Acceptance_Rate` INTEGER , `Listings_count` INTEGER , `License_Number` VARCHARACTER (?) NOT NULL UNIQUE , `Verification_status` INTEGER NOT NULL , FOREIGN KEY ( `State_ID` ) REFERENCES `State` ( `State_ID` ) , FOREIGN KEY ( `Country_ID` ) REFERENCES `Country` ( `Country_ID` ) , FOREIGN KEY ( `Verification_status` ) REFERENCES `Verification` ( `Verification_ID` ) )",,1,0,0,80594.60,80594.60,80594.60,0,0.0,0,0.0,4703c821a672950d018ec0a54c0d74dbf331c9a31cbce5738f5c3b75926b27f8
ALTER TABLE `Bookings` ADD CONSTRAINT `FK_CustomerID` FOREIGN KEY ( `Customer_ID` ) REFERENCES `Customer` ( `Customer_ID` ),,1,0,0,79596.50,79596.50,79596.50,0,0.0,0,0.0,dce51cc2af553aeb74899fbaddb9a754375f718b60273d7c986eb2391c5db5e2
ALTER TABLE `Bookings` ADD CONSTRAINT `FK_ListingID` FOREIGN KEY ( `Listing_ID` ) REFERENCES `Listings` ( `Listings_ID` ),,1,0,0,77735.80,77735.80,77735.80,0,0.0,0,0.0,f55500a1de778895a61bb4481a88e88a763ce2f2a9e5099ca39dee488a02cca2
DROP TABLE `Amenities_Provided`,,1,0,0,68989.90,68989.90,68989.90,0,0.0,0,0.0,a9c81f60136cf3d4849d27fee28679c9f1a7303286e8151aad8f42be9dfd5ecf
"CREATE TABLE `Amenities_Provided` ( `Listing_ID` INTEGER NOT NULL UNIQUE , `Amenities_ID` INTEGER NOT NULL UNIQUE , FOREIGN KEY ( `Amenities_ID` ) REFERENCES `Amenities` ( `Amenities_ID` ) , FOREIGN KEY ( `Listing_ID` ) REFERENCES `Listings` ( `Listings_ID` ) , CONSTRAINT `PK_Amenities_Prov` PRIMARY KEY ( `Listing_ID` , `Amenities_ID` ) )",,1,0,0,66448.20,66448.20,66448.20,0,0.0,0,0.0,0c78b51750f550147f0ac1ab35dd1b1a12785a7b95bf159a7b1e7777d77313ae
